Model Variant ID,position_goals,velocity_goals,distance_reward,eval/walltime,training/sps,training/walltime,training/entropy_loss,training/policy_loss,training/total_loss,training/v_loss,eval/episode_goal_distance_relative_frame_normalised,eval/episode_goal_distance_root_normalised,eval/episode_goal_distance_world_frame,eval/episode_goal_reached,eval/episode_is_unhealthy,eval/episode_reward,eval/avg_episode_length,eval/epoch_eval_time,eval/sps
0,True,,absolute,583.2784948348999,133651.91444745896,2501.3527812957764,0.022314478,0.00054351304,1868.3173,1868.2946,0.0260 ± 0.0165,0.0199 ± 0.0179,2.1557 ± 1.7510,0.0000 ± 0.0000,0.4375 ± 0.4961,-6211.2344 ± 5706.2285,1000.0000 ± 0.0000,5.529815435409546,23147.246322249113
1,True,,absolute,587.7970283031464,132661.92619189815,2515.911224603653,0.031164808,0.0023846289,554.71014,554.67664,0.0265 ± 0.0144,0.0203 ± 0.0164,2.2153 ± 1.7718,0.0000 ± 0.0000,0.4531 ± 0.4978,404.8722 ± 180.7897,1000.0000 ± 0.0000,5.58100962638855,22934.918333553982
2,True,,absolute,583.2577791213989,133242.68948732672,2502.3441953659058,0.026871974,0.009352463,1674.3085,1674.2723,0.0248 ± 0.0155,0.0200 ± 0.0168,2.2225 ± 1.7662,0.0000 ± 0.0000,0.4531 ± 0.4978,-6525.1748 ± 5929.7915,1000.0000 ± 0.0000,5.5368146896362305,23117.98519094191
3,True,,relative,584.3374955654144,132669.7518462125,2505.5420784950256,0.026748687,-0.00073358906,707.6684,707.6424,0.0340 ± 0.0764,0.0282 ± 0.0773,2.8674 ± 6.5410,0.0000 ± 0.0000,0.4297 ± 0.4950,-17.8326 ± 561.4769,1000.0000 ± 0.0000,5.532727956771851,23135.0612211708
4,True,,relative,577.0545220375061,133165.3085219722,2501.877173423767,0.02259206,0.0017261303,1831.9628,1831.9384,0.0231 ± 0.0140,0.0178 ± 0.0152,2.0031 ± 1.5657,0.0000 ± 0.0000,0.4297 ± 0.4950,-5758.8979 ± 5020.0786,1000.0000 ± 0.0000,5.467721223831177,23410.11817539441
5,True,,relative,583.0613572597504,133331.06211426744,2503.157071828842,0.033261772,0.0033219622,617.48047,617.4439,0.0257 ± 0.0141,0.0205 ± 0.0154,2.2641 ± 1.6462,0.0000 ± 0.0000,0.5000 ± 0.5000,403.8962 ± 179.0166,1000.0000 ± 0.0000,5.532450437545776,23136.221723981944
6,True,root,absolute,583.2745697498322,132623.1931322587,2512.6577520370483,0.018394906,-0.00027942468,1957.4414,1957.4235,0.0238 ± 0.0141,0.0178 ± 0.0155,2.0105 ± 1.6650,0.0000 ± 0.0000,0.3984 ± 0.4896,-6506.5889 ± 6243.4619,1000.0000 ± 0.0000,5.521794557571411,23180.869672973997
7,True,root,absolute,576.2846257686615,133547.69158278365,2503.3508903980255,0.031602506,0.0033793696,599.9569,599.92194,0.0243 ± 0.0150,0.0189 ± 0.0162,2.0175 ± 1.7295,0.0000 ± 0.0000,0.4062 ± 0.4911,27.3218 ± 506.3699,1000.0000 ± 0.0000,5.46487832069397,23422.296433444768
8,True,root,absolute,582.6146304607391,133007.6647914998,2503.1136684417725,0.02182631,-8.338069e-05,1793.195,1793.1731,0.0302 ± 0.0541,0.0243 ± 0.0552,2.5417 ± 4.6834,0.0000 ± 0.0000,0.3906 ± 0.4879,-6434.6396 ± 7367.3511,1000.0000 ± 0.0000,5.514127016067505,23213.103293961736
9,True,root,relative,581.2098641395569,133217.89517282773,2508.5202221870422,0.030888585,0.0024897535,577.977,577.94354,0.0300 ± 0.0311,0.0243 ± 0.0323,2.5510 ± 2.9029,0.0000 ± 0.0000,0.4844 ± 0.4998,398.1594 ± 185.7600,1000.0000 ± 0.0000,5.50165581703186,23265.722949033174
10,True,root,relative,577.9520649909973,133133.9500395937,2498.6450667381287,0.026791317,0.0014246398,1775.7246,1775.6963,0.0226 ± 0.0144,0.0176 ± 0.0152,1.9528 ± 1.6210,0.0000 ± 0.0000,0.3984 ± 0.4896,-6229.3364 ± 5641.1206,1000.0000 ± 0.0000,5.465713739395142,23418.716402473907
11,True,root,relative,739.5421659946442,141823.67343653532,2364.7042026519775,0.02629406,-0.0002806806,575.55975,575.53375,0.0296 ± 0.0595,0.0241 ± 0.0603,2.4783 ± 5.1686,0.0000 ± 0.0000,0.3984 ± 0.4896,23.3009 ± 494.6749,1000.0000 ± 0.0000,6.974297285079956,18353.10351249711
